100 Calorie Packs Chips Ahoy! Cookies Snacks
Kellogg's Pop Tarts Frosted Brown Sugar Cinnamon Family Size	Breakfast
Kellogg's Pop Tarts Frosted Cherry	Breakfast
Kellogg's Pop Tarts Frosted Cherry Family Pack	Breakfast
Kellogg's Pop Tarts Frosted Chocolate Fudge	Breakfast
Kellogg's Pop Tarts Frosted Cookies n' Cream	Breakfast
Kellogg's Pop Tarts Frosted Strawberry	Breakfast
Kellogg's Pop Tarts Frosted Strawberry	Breakfast
Kellogg's Pop Tarts Frosted Strawberry	Breakfast
Kellogg's Pop Tarts S'mores	Breakfast
Kellogg's Pop Tarts Semi-Frosted Chocolate Chip	Breakfast
Kellogg's Pop Tarts Strawberry Family Pack	Breakfast
Kellogg's Pop Tarts Toaster Pastries Variety Pack	Breakfast
Kellogg's Pop Tarts Variety Pack	Breakfast
Kellogg's Pop-Tarts Apple Strudel	Breakfast
Kellogg's Pop-Tarts Brown Sugar Cinnamon	Breakfast
Kellogg's Pop-Tarts Chocolate Chip Cookie Dough	Breakfast
Kellogg's Pop-Tarts Chocolate Vanilla Creme	Breakfast
Kellogg's Pop-Tarts Cinnamon Roll	Breakfast
Kellogg's Pop-Tarts Cookies 'N Cream	Breakfast
Kellogg's Pop-Tarts Frosted Blueberry	Breakfast
Kellogg's Pop-Tarts Frosted Brown Sugar Cinnamon Value Pack	Breakfast
Kellogg's Pop-Tarts Frosted Chocolate Fudge	Breakfast
Kellogg's Pop-Tarts Frosted Chocolate Fudge	Breakfast
Kellogg's Pop-Tarts Frosted Double Berry	Breakfast
Kellogg's Pop-Tarts Frosted Hot Fudge Sundae	Breakfast
Kellogg's Pop-Tarts Frosted Raspberry	Breakfast
Kellogg's Pop-Tarts Frosted Strawberry Family Pack	Breakfast
Kellogg's Pop-Tarts Frosted Strawberry Milkshake	Breakfast
Kellogg's Pop-Tarts Low Fat Frosted Brown Sugar Cinnamon	Breakfast
Kellogg's Pop-Tarts Low Fat Frosted Strawberry	Breakfast
Kellogg's Pop-Tarts Strawberry Cheese Danish	Breakfast
Kellogg's Pop-Tarts Wild! Berry	Breakfast
Kellogg's Rice Krispies Treats Variety Pack	Snacks
Kellogg's Special K Bar Blueberry Grab 'N Go Snacks	Snacks
Kellogg's Special K Bar Strawberry Grab 'N Go Snacks	Snacks
Kellogg's Special K Bars Vanilla Crisp	Snacks
Kellogs Special K Blueberry Bars	Snacks
Kelsen Danish Butter Cookies Tin	Snacks
Ker Cadelac Butter Biscuits From Brittany Galettes De Bretagne	Snacks
Killebrew Root Beer	Beverages
Kirkland Frozen Concentrate Orange Juice	Beverages
Kirkland Infant Formula with Iron	Baby Food
Kirkland Super Extra Large Peanuts	Snacks
KitKat Milk Chocolate Bar King Size	Candy
Kitty Kaviar Cat Treat	Pet Food
Knorr Alfredo Pasta Sauce Mix	Boxed Meals & Sides
Knorr Bearnaise Sauce Mix	Pantry & Condiments
Knorr Demi-Glace Sauce Mix	Pantry & Condiments
Knorr Hollandaise Sauce Mix	Boxed Meals & Sides
Koueidou Japanese Cola Hard Candy	Candy
Kraft Easy Cheese American	Snacks
Kraft Easy Cheese Cheddar	Snacks
Kraft Easy Cheese Cheddar 'N Bacon	Snacks
Kraft Easy Cheese Sharp Cheddar	Snacks
Lang's Chocolates European Style Hot Chocolate Mix	Beverages
Lara Bar Apple Pie	Snacks
Lara Bar Apple Pie Box	Snacks
Lara Bar Banana Cookie Dough	Snacks
Lara Bar Banana Cookie Dough Box	Snacks
Lara Bar Cashew Cookie	Snacks
Lara Bar Cashew Cookie Box	Snacks
Lara Bar Cherry Pie	Snacks
Lara Bar Cherry Pie	Snacks
Lara Bar Cherry Pie Box	Snacks
Lara Bar Cherry Pie Case	Snacks
Lara Bar Chocolate Coconut Chew	Snacks
Lara Bar Chocolate Coconut Chew Box	Snacks
Lara Bar Cocoa Mole	Snacks
Lara Bar Cocoa Mole Box	Snacks
Lara Bar Ginger Snap	Snacks
Lara Bar Ginger Snap Box	Snacks
Larabar Fruit & Nut Food Bar Cinnamon Roll	Snacks
Larabar Fruit & Nut Food Bar Key Lime Pie	Snacks
Larabar Fruit & Nut Food Bar Pecan Pie	Snacks
Larabar Mint Chocolate	Snacks
Lay's Potato Chips Regular Case	Snacks
Lay's Potato Chips Salt & Vinegar	Snacks
Lay's Potato Chips Sour Cream & Onion	Snacks
Le Moulin De Marie Grape Seed Oil	Pantry & Condiments
Le Moulin De Marie Hazelnut Oil	Pantry & Condiments
Le Moulin De Marie Walnut Oil	Pantry & Condiments
LesserEvil Krinkle Sticks Classic Sea Salt	Snacks
Life Savers Tarts Orange Watermelon Cherry Lemonade	Candy
Lifesavers Gummies Sours Theater Box	Candy
Lindt Lindor Chocolate Eggs	Candy
Little Bear Cheddar Puffs	Snacks
Live Energy Drink Acai Berry	Beverages
Live Energy Drink Green Tea	Beverages
Live Energy Drink Sugar Free	Beverages
LoC Maria Crepes au Chocolat Belgian Milk Chocolate Biscuits	Snacks
Lotte Mixed Soda And Cola Japanese Hard Candy	Candy
Lotte Mixed Soda And Cola Japanese Hard Candy	Candy
Luna Bar Berry Almond	Snacks
Luna Bar Caramel Nut Brownie	Snacks
Luna Bar Caramel Nut Brownie	Snacks
Luna Bar Chai Tea	Snacks
Luna Bar Chai Tea Box	Snacks
Luna Bar Cherry Chocolate Box	Snacks
Luna Bar Cherry Covered Chocolate	Snacks
Luna Bar Chocolate Pecan Pie	Snacks
Luna Bar Chocolate Pecan Pie Box	Snacks
Luna Bar Chocolate Peppermint	Snacks
Luna Bar Chocolate Peppermint Box	Snacks
Luna Bar Chocolate Raspberry	Snacks
Luna Bar Cookies 'n Cream Box	Snacks
Luna Bar Cookies 'n Cream Delight	Snacks
Luna Bar Dulce De Leche	Snacks
Luna Bar Iced Oatmeal Box	Snacks
Luna Bar Iced Oatmeal Raisin	Snacks
Luna Bar Key Lime Pie	Snacks
Luna Bar Lemon Zest	Snacks
Luna Bar Lemon Zest Box	Snacks
Luna Bar Nutz Over Chocolate	Snacks
Luna Bar Nutz Over Chocolate Box	Snacks
Luna Bar Orange Bliss	Snacks
Luna Bar Peanut Butter Cookie	Snacks
Luna Bar Peanut Butter Cookie Box	Snacks
Luna Bar S'mores Box	Snacks
Luna Bar Smores	Snacks
Luna Bar Sunrise Vanilla Almond	Snacks
Luna Bar Toasted Nut & Cranberry	Snacks
Luna Bar Toasted Nuts 'n Cranberry	Snacks
Luna Sunrise Bar Strawberry Crumble	Snacks
Luna Sunrise Blueberry Bliss Bar	Snacks
Luna Sunrise Blueberry Yogurt Bar	Snacks
Luna Sunrise Strawberries & Creme Bar	Snacks
Luna Sunrise Vanilla Almond	Snacks
Lundberg Rice Chips Sesame Seaweed	Snacks
Made In Napa Valley Beef & Burger Rub	Cooking Supplies
Madhouse Munchies Blue Corn Tortilla Chips	Snacks
Madhouse Munchies Creamy French Onion Potato Chips	Snacks
Madhouse Munchies Creamy French Onion Potato Chips	Snacks
Madhouse Munchies Creamy French Onion Potato Chips Single Serve	Snacks
Madhouse Munchies Fire Sweet Mesquite BBQ Potato Chips	Snacks
Madhouse Munchies Fire Sweet Mesquite BBQ Potato Chips	Snacks
Madhouse Munchies Fire Sweet Mesquite BBQ Potato Chips	Snacks
Madhouse Munchies Sea Salt & Vinegar Potato Chips	Snacks
Madhouse Munchies Sea Salt & Vinegar Potato Chips	Snacks
Madhouse Munchies Sea Salt & Vinegar Potato Chips	Snacks
Madhouse Munchies Sea Salted Kettle Cooked Potato Chips	Snacks
Madhouse Munchies Sea Salted Potato Chips	Snacks
Madhouse Munchies Sea Salted Potato Chips Single Serve	Snacks
Madhouse Munchies White Corn Tortilla Chips	Snacks
Marcum Gourmet Spices Pure Ground Black Pepper	Cooking Supplies
Mars Bounty Chocolate Bar	Candy
Mauna Loa Dry Roasted Macadamias With Sea Salt	Snacks
Mauna Loa Macadamia Nuts Butter Candy Glazed	Snacks
Mauna Loa Macadamia Nuts Coffee Glazed	Snacks
Mauna Loa Macadamia Nuts Honey Roasted	Snacks
Mauna Loa Macadamia Nuts Maui Onion Garlic	Snacks
Mauna Loa Macadamia Nuts Roasted Unsalted	Snacks
Mauna Loa Milk Chocolate Bar Macadamia Crisp	Candy
Mauna Loa Salted Teriyaki Wasabi Nuts	Snacks
McCormick Black Pepper	Cooking Supplies
McCormick Black Pepper Ground	Cooking Supplies
Mccormick Pure Ground Black Pepper	Cooking Supplies
Mcvitie's Hobnobs Milk Chocolate Tubes	Candy
Mediteranian Organic Grapefruit Sections	Canned Goods
Medora Snacks Corners Sea Salt	Snacks
Melissa's Good Life Food Croutons Garden Herb	Pantry & Condiments
Mexi-Snax Nacho Cheese Tortilla Chips	Snacks
Mexi-Snax Pico De Gallo Chips	Snacks
Mexi-Snax Salsa Picante Tortilla Chips	Snacks
Mexi-Snax Sesame Tortilla Chips	Snacks
Mexi-Snax Tamari Tortilla Chips	Snacks
Mi-Del Gluten Free Chocolate Sandwich Cookie	Snacks

